ERROR | utils | 2023-04-03 22:28:14,847 | 38 | Start calculating
ERROR | utils | 2023-04-03 22:28:14,848 | 27 | Start summing
ERROR | utils | 2023-04-03 22:28:14,848 | 29 | Start minus
ERROR | utils | 2023-04-03 22:28:14,848 | 31 | Start multiplying
ERROR | utils | 2023-04-03 22:28:14,849 | 33 | Start division
ERROR | utils | 2023-04-03 22:28:14,849 | 40 | End calculating
ERROR | utils | 2023-04-03 22:39:34,177 | 41 | Start calculating
ERROR | utils | 2023-04-03 22:39:34,177 | 29 | Start summing
ERROR | utils | 2023-04-03 22:39:34,178 | 31 | Start minus
ERROR | utils | 2023-04-03 22:39:34,178 | 33 | Start multiplying
ERROR | utils | 2023-04-03 22:39:34,178 | 35 | Start division
ERROR | utils | 2023-04-03 22:39:34,179 | 43 | End calculating
ERROR | utils | 2023-04-03 22:39:56,424 | 41 | Start calculating
ERROR | utils | 2023-04-03 22:39:56,424 | 29 | Start summing
ERROR | utils | 2023-04-03 22:39:56,424 | 31 | Start minus
ERROR | utils | 2023-04-03 22:39:56,424 | 33 | Start multiplying
ERROR | utils | 2023-04-03 22:39:56,425 | 35 | Start division
ERROR | utils | 2023-04-03 22:39:56,425 | 43 | End calculating
ERROR | utils | 2023-04-03 22:40:14,769 | 41 | Start calculating
ERROR | utils | 2023-04-03 22:40:14,770 | 29 | Start summing
ERROR | utils | 2023-04-03 22:40:14,770 | 31 | Start minus
ERROR | utils | 2023-04-03 22:40:14,770 | 33 | Start multiplying
ERROR | utils | 2023-04-03 22:40:14,771 | 35 | Start division
ERROR | utils | 2023-04-03 22:40:14,771 | 43 | End calculating
ERROR | utils | 2023-04-03 22:41:05,967 | 41 | Start calculating
ERROR | utils | 2023-04-03 22:41:05,967 | 29 | Start summing
ERROR | utils | 2023-04-03 22:41:05,968 | 31 | Start minus
ERROR | utils | 2023-04-03 22:41:05,968 | 33 | Start multiplying
ERROR | utils | 2023-04-03 22:41:05,968 | 35 | Start division
ERROR | utils | 2023-04-03 22:41:05,969 | 43 | End calculating
ERROR | utils | 2023-04-03 22:44:07,319 | 43 | Start calculating
ERROR | utils | 2023-04-03 22:44:07,320 | 31 | Start summing
ERROR | utils | 2023-04-03 22:44:07,320 | 33 | Start minus
ERROR | utils | 2023-04-03 22:44:07,320 | 35 | Start multiplying
ERROR | utils | 2023-04-03 22:44:07,321 | 37 | Start division
ERROR | utils | 2023-04-03 22:44:07,321 | 45 | End calculating
